OBJECTID,ACREAGE,LU_2030,Shape_Length,Shape_Area
171,4.275650300000000,IN,2132.794772258041576,186246.581921916193096
172,10.499359200000001,IN,3087.665824720144428,457350.257193548546638
173,7.479923200000000,RH,3476.655810643213954,325824.151389104139525
174,3.000504440000000,RH,1743.650166901333250,130701.450541289479588
175,4.477020420000000,RH,1808.542668579582823,195018.229532481345814
176,3.057781760000000,RH,1789.635112637777411,133196.440723850886570
177,3.182998950000000,RH,1884.891526342267980,138650.879608856921550
178,2.012467210000000,RH,1331.777805934785420,87662.721137956628809
179,108.860946940000005,CG,10649.345938352735175,4741963.880656036548316
180,5.077002400000000,CG,2015.745845722696458,221153.339837735285982
181,6.015419410000000,CG,2461.051318003576398,262030.621434556232998
182,1.764976060000000,CG,1176.716251341740644,76882.049653489317279
183,4.527737760000000,CG,1807.962083161397004,197227.468087846413255
