shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
ca11a79b-3c35-4f1b-be36-e90944f20cce,38.67766082,-121.9687963,82,22842.07
cc19e021-e809-41f6-b4ce-1d90add87a38,38.55783755,-121.7178292,70,5505
7ae4d65b-ccea-4afe-80e6-83b8fe2bf30d,38.67887652,-121.7779686,3,574.67
8cc45367-af84-4469-a4f8-fa528149ce91,38.68904814,-121.587206,87,19847.4
52e2bec4-816b-4797-9f8c-c13f69997c4e,38.63550935,-121.5218157,74,10082.17
8cc45367-af84-4469-a4f8-fa528149ce91,38.58601527,-121.5033146,195,37753.87
3a8d1076-986f-4a12-8b14-fa4ac0f2df5b,38.58114219,-121.5176691,193,12333.67
2edb9e1f-1266-4edf-8c37-f380305275fc,38.57838486,-121.5240383,50,5464.07
1ff5077a-353f-46f6-a144-6633479680fe,38.54416093,-121.7502378,119,25705.64
1ff5077a-353f-46f6-a144-6633479680fe,38.57567227,-121.495404,0,0
8cc45367-af84-4469-a4f8-fa528149ce91,38.54638009,-121.7456134,373,62719.97
5a628da4-35c5-4a0c-bc7a-0d56758184e4,38.62216605,-121.7667608,33,4869.72
0a81a25b-f600-4a98-8fbe-3b8604f99f55,38.56709738,-121.5337357,62,9107.41
b22deccb-df2a-4aa1-8197-056fdb7524d1,38.59213022,-121.5411103,83,5434.79
8cc45367-af84-4469-a4f8-fa528149ce91,38.56690314,-121.6201203,278,50564.55
b22deccb-df2a-4aa1-8197-056fdb7524d1,38.581594,-121.522116,260,17835.34
41f81bd8-b36b-4874-bc75-8f22aef9b513,38.66889053,-121.7238768,71,5724.93
2edb9e1f-1266-4edf-8c37-f380305275fc,38.54893304,-121.7758461,167,31115.77
0a81a25b-f600-4a98-8fbe-3b8604f99f55,38.58190676,-121.5184448,133,17556.69
5c34f10f-559d-4a52-b8c5-4f250851e6f2,38.65297846,-121.7658472,157,18794.02
52e2bec4-816b-4797-9f8c-c13f69997c4e,38.68304955,-121.7840359,214,41167.34
57bce3af-8193-4fbc-9976-3db4b6cd4d9e,38.56186089,-121.7175532,116,23921.58
5c34f10f-559d-4a52-b8c5-4f250851e6f2,38.659929,-121.765698,6,348.38
5a628da4-35c5-4a0c-bc7a-0d56758184e4,38.62636895,-121.5175509,296,46601.6
b22deccb-df2a-4aa1-8197-056fdb7524d1,38.58204058,-121.5185926,252,17497.23
daa4a6c5-6c77-4dc4-89f6-4c20c59c2c6e,38.58528094,-121.5607691,43,6096.5
5a628da4-35c5-4a0c-bc7a-0d56758184e4,38.54872276,-121.7323235,110,17197.21
0a81a25b-f600-4a98-8fbe-3b8604f99f55,38.54385278,-121.5747787,199,28158.48
0a81a25b-f600-4a98-8fbe-3b8604f99f55,38.58160743,-121.5119105,123,16908.31
daa4a6c5-6c77-4dc4-89f6-4c20c59c2c6e,38.58863876,-121.5520466,24,4088.41
5a628da4-35c5-4a0c-bc7a-0d56758184e4,38.68929854,-121.5871868,334,58085.94
8cc45367-af84-4469-a4f8-fa528149ce91,38.69309979,-121.5903862,112,20560.05
8cc45367-af84-4469-a4f8-fa528149ce91,38.67317449,-121.6370398,50,13545.36
57bce3af-8193-4fbc-9976-3db4b6cd4d9e,38.56215081,-121.7147509,113,23675.91
1ff5077a-353f-46f6-a144-6633479680fe,38.54404977,-121.7501353,120,25720.87
52e2bec4-816b-4797-9f8c-c13f69997c4e,38.6617549,-121.5361193,89,13251.91
cc19e021-e809-41f6-b4ce-1d90add87a38,38.57368907,-121.4870819,193,30084.84
4f52cb74-1adb-4da5-919e-745715b6ae26,38.54871965,-121.6918531,45,9010.5
52e2bec4-816b-4797-9f8c-c13f69997c4e,38.57379541,-121.4962109,12,2101.81
3a8d1076-986f-4a12-8b14-fa4ac0f2df5b,38.58998653,-121.5125109,46,2903.08
5a628da4-35c5-4a0c-bc7a-0d56758184e4,38.58083623,-121.5038721,269,41281.59
57bce3af-8193-4fbc-9976-3db4b6cd4d9e,38.55329004,-121.6942079,80,20586.9
41f81bd8-b36b-4874-bc75-8f22aef9b513,38.67037852,-121.7356066,88,6924.35
8cc45367-af84-4469-a4f8-fa528149ce91,38.54674815,-121.7445723,369,62620.05
8cc45367-af84-4469-a4f8-fa528149ce91,38.58154587,-121.5231698,241,41934.87
792cca05-f7f8-4f89-8daa-55dd46d675e3,38.69618483,-122.0206222,121,14186.57
41f81bd8-b36b-4874-bc75-8f22aef9b513,38.67402486,-121.7461025,109,8286.62
8cc45367-af84-4469-a4f8-fa528149ce91,38.55553095,-121.7064549,324,59085.66
